"fecha","sitio","CEa1m","sdCEa1m","CEa05m","sdCEa05m","PromCEa","Lectura_std_Med","Lectura_std_Sum","Lectura_std_Max"
"2018-04-04","S10",24.38,0.64,17.7,1.59,21.04,0.5886,2.943,0.784
"2018-04-04","S11",26.26,0.44,20.52,0.74,23.39,0.5652,2.826,0.805
"2018-04-04","S12",29.73,0.73,23.56,0.55,26.65,0.6316,3.158,0.891
"2018-04-13","S1",33,0.72,32.51,1.82,32.76,0.6442,3.221,0.897
"2018-04-13","S2",34.14,1.19,30.76,1.55,32.45,0.6676,3.338,0.952
"2018-04-13","S3",37.65,0.65,34.92,2.45,36.29,0.6156,3.078,0.898
"2018-04-13","S4",50.72,0.91,47.59,2.24,49.16,0.873,4.365,1.076
"2018-04-13","S5",48.61,0.66,44.89,0.86,46.75,0.8432,4.216,1.023
"2018-04-13","S6",47.53,1.33,36.5,1.93,42.02,0.7828,3.914,0.983
"2018-04-13","S7",27.54,1.15,25.92,1.14,26.73,0.64,3.2,0.778
"2018-04-13","S8",28.53,0.95,27.04,0.99,27.79,0.784,3.136,0.94
"2018-04-13","S9",29.33,0.64,29.05,1.26,29.19,0.6624,3.312,0.944
"2018-04-13","S10",34.06,1.41,31.48,1.17,32.77,0.6648,3.324,0.976
"2018-04-13","S11",37.89,0.54,33.79,0.9,35.84,0.7912,3.956,0.92
"2018-04-13","S12",40.62,0.44,37.06,0.77,38.84,0.808,4.04,0.984
"2018-04-20","S1",37.58,0.9,38.49,2.2,38.04,0.6408,3.204,0.885
"2018-04-20","S2",37.86,1.23,38.07,1.43,37.97,0.6542,3.271,0.936
"2018-04-20","S3",42.01,0.44,42.1,2.02,42.06,0.6238,3.119,0.897
"2018-04-20","S4",54.69,1.16,55,3.92,54.85,0.8366,4.183,1.114
"2018-04-20","S5",53.19,1.13,47.99,3.08,50.59,0.8,4,0.992
"2018-04-20","S6",51.35,1.02,42.55,1.14,46.95,0.7798,3.899,0.972
"2018-04-20","S7",29.76,1.32,31.23,2.58,30.5,0.6108,3.054,0.727
"2018-04-20","S8",32.88,0.53,33.77,0.38,33.33,0.7595,3.038,0.977
"2018-04-20","S9",34.06,0.72,36.88,1.33,35.47,0.659,3.295,0.914
"2018-04-20","S10",38.17,1.7,37.69,2.27,37.93,0.7082,3.541,0.971
"2018-04-20","S11",42.64,0.61,42.01,0.59,42.33,0.7548,3.774,0.921
"2018-04-20","S12",45.82,0.64,44.72,1.18,45.27,0.8052,4.026,1.001
"2018-05-02","S1",34.23,1.01,32.31,1.44,33.27,0.65,3.25,0.891
"2018-05-02","S2",35.11,1.09,31.01,1.72,33.06,0.6708,3.354,0.956
"2018-05-02","S3",38.98,1.06,34.65,1.51,36.82,0.6488,3.244,0.911
"2018-05-02","S4",52.37,0.63,48.24,0.97,50.31,0.863,4.315,1.113
"2018-05-02","S5",50.51,1.75,44.03,3.37,47.27,0.843,4.215,1.056
"2018-05-02","S6",49.23,0.67,37.83,0.7,43.53,0.8274,4.137,1.058
"2018-05-02","S7",30.41,1.64,26.21,1.66,28.31,0.62,3.1,0.726
"2018-05-02","S8",31.58,0.57,28.07,0.51,29.83,0.78075,3.123,0.978
"2018-05-02","S9",32.41,0.38,30.9,0.67,31.66,0.6652,3.326,0.929
"2018-05-02","S10",38.54,1.09,32.61,2.42,35.58,0.7504,3.752,0.977
"2018-05-02","S11",40.46,0.69,35.44,1.25,37.95,0.7504,3.752,0.946
"2018-05-02","S12",43.78,0.9,37.83,1.14,40.81,0.8344,4.172,1.052
"2018-05-09","S1",34.23,1.01,32.31,1.44,33.27,0.6498,3.249,0.861
"2018-05-09","S2",35.11,1.09,31.01,1.72,33.06,0.6684,3.342,0.929
"2018-05-09","S3",38.98,1.06,34.65,1.51,36.82,0.6342,3.171,0.901
"2018-05-09","S4",52.37,0.63,48.24,0.97,50.31,0.74,3.7,1.084
"2018-05-09","S5",50.51,1.75,44.03,3.37,47.27,0.8314,4.157,1.04
"2018-05-09","S6",49.23,0.67,37.83,0.7,43.53,0.81,4.05,1.024
"2018-05-09","S7",30.41,1.64,26.21,1.66,28.31,0.612,3.06,0.71
"2018-05-09","S8",31.58,0.57,28.07,0.51,29.83,0.7755,3.102,0.964
"2018-05-09","S9",32.41,0.38,30.9,0.67,31.66,0.651,3.255,0.914
"2018-05-09","S10",38.54,1.09,32.61,2.42,35.58,0.7392,3.696,0.969
"2018-05-09","S11",40.46,0.69,35.44,1.25,37.95,0.7568,3.784,0.969
"2018-05-09","S12",43.78,0.9,37.83,1.14,40.81,0.8272,4.136,1.035
