"fecha";"std";"Prof";"sitio";"Lectura_std"
"2018-01-31";"729";"p60cm";"S4";0,782
"2018-01-31";"729";"p80cm";"S4";0,55
"2018-01-31";"729";"p100cm";"S4";0,535
"2018-02-07";"736";"p20cm";"S4";0,439
"2018-02-07";"736";"p40cm";"S4";0,89
"2018-02-07";"736";"p60cm";"S4";0,751
"2018-02-07";"736";"p80cm";"S4";0,474
"2018-02-07";"736";"p100cm";"S4";0,515
"2018-02-14";"726";"p20cm";"S4";0,711
"2018-02-14";"726";"p40cm";"S4";1,051
"2018-02-14";"726";"p60cm";"S4";0,853
"2018-02-14";"726";"p80cm";"S4";0,596
"2018-02-14";"726";"p100cm";"S4";0,605
"2018-02-21";"753";"p20cm";"S4";0,602
"2018-02-21";"753";"p40cm";"S4";0,991
"2018-02-21";"753";"p60cm";"S4";0,769
"2018-02-21";"753";"p80cm";"S4";0,521
"2018-02-21";"753";"p100cm";"S4";0,562
"2018-02-27";"730";"p20cm";"S4";0,514
"2018-02-27";"730";"p40cm";"S4";0,932
"2018-02-27";"730";"p60cm";"S4";0,782
"2018-02-27";"730";"p80cm";"S4";0,512
"2018-02-27";"730";"p100cm";"S4";0,5
"2018-03-07";"733";"p20cm";"S4";0,551
"2018-03-07";"733";"p40cm";"S4";0,941
"2018-03-07";"733";"p60cm";"S4";0,764
"2018-03-07";"733";"p80cm";"S4";0,498
"2018-03-07";"733";"p100cm";"S4";0,568
"2018-03-14";"735";"p20cm";"S4";0,63
"2018-03-14";"735";"p40cm";"S4";0,922
"2018-03-14";"735";"p60cm";"S4";0,746
"2018-03-14";"735";"p80cm";"S4";0,468
"2018-03-14";"735";"p100cm";"S4";0,537
"2018-03-21";"725";"p20cm";"S4";0,792
"2018-03-21";"725";"p40cm";"S4";1,068
"2018-03-21";"725";"p60cm";"S4";0,785
"2018-03-21";"725";"p80cm";"S4";0,497
"2018-03-21";"725";"p100cm";"S4";0,606
"2018-03-28";"734";"p20cm";"S4";0,748
"2018-03-28";"734";"p40cm";"S4";1,004
"2018-03-28";"734";"p60cm";"S4";0,77
"2018-03-28";"734";"p80cm";"S4";0,503
"2018-03-28";"734";"p100cm";"S4";0,567
"2018-04-04";"749";"p20cm";"S4";0,696
"2018-04-04";"749";"p40cm";"S4";1,016
"2018-04-04";"749";"p60cm";"S4";0,721
"2018-04-04";"749";"p80cm";"S4";0,461
"2018-04-04";"749";"p100cm";"S4";0,615
"2018-04-13";"748";"p20cm";"S4";0,88
"2018-04-13";"748";"p40cm";"S4";1,076
"2018-04-13";"748";"p60cm";"S4";0,976
"2018-04-13";"748";"p80cm";"S4";0,751
"2018-04-13";"748";"p100cm";"S4";0,682
"2018-04-20";"747";"p20cm";"S4";0,859
"2018-04-20";"747";"p40cm";"S4";1,114
"2018-04-20";"747";"p60cm";"S4";0,944
"2018-04-20";"747";"p80cm";"S4";0,696
"2018-04-20";"747";"p100cm";"S4";0,57
"2018-05-02";"744";"p20cm";"S4";0,86
"2018-05-02";"744";"p40cm";"S4";1,113
"2018-05-02";"744";"p60cm";"S4";0,95
