"fecha";"sitio";"Lectura_std_Med";"Lectura_std_Sum";"Lectura_std_Max"
"2018-04-13";"S6";0,7828;3,914;0,983
"2018-04-13";"S7";0,64;3,2;0,778
"2018-04-13";"S8";0,784;3,136;0,94
"2018-04-13";"S9";0,6624;3,312;0,944
"2018-04-20";"S1";0,6408;3,204;0,885
"2018-04-20";"S10";0,7082;3,541;0,971
"2018-04-20";"S11";0,7548;3,774;0,921
"2018-04-20";"S12";0,8052;4,026;1,001
"2018-04-20";"S2";0,6542;3,271;0,936
"2018-04-20";"S3";0,6238;3,119;0,897
"2018-04-20";"S4";0,8366;4,183;1,114
"2018-04-20";"S5";0,8;4;0,992
"2018-04-20";"S6";0,7798;3,899;0,972
"2018-04-20";"S7";0,6108;3,054;0,727
"2018-04-20";"S8";0,7595;3,038;0,977
"2018-04-20";"S9";0,659;3,295;0,914
"2018-05-02";"S1";0,65;3,25;0,891
"2018-05-02";"S10";0,7504;3,752;0,977
"2018-05-02";"S11";0,7504;3,752;0,946
"2018-05-02";"S12";0,8344;4,172;1,052
"2018-05-02";"S2";0,6708;3,354;0,956
"2018-05-02";"S3";0,6488;3,244;0,911
"2018-05-02";"S4";0,863;4,315;1,113
"2018-05-02";"S5";0,843;4,215;1,056
"2018-05-02";"S6";0,8274;4,137;1,058
"2018-05-02";"S7";0,62;3,1;0,726
"2018-05-02";"S8";0,78075;3,123;0,978
"2018-05-02";"S9";0,6652;3,326;0,929
"2018-05-09";"S1";0,6498;3,249;0,861
"2018-05-09";"S10";0,7392;3,696;0,969
"2018-05-09";"S11";0,7568;3,784;0,969
"2018-05-09";"S12";0,8272;4,136;1,035
"2018-05-09";"S2";0,6684;3,342;0,929
"2018-05-09";"S3";0,6342;3,171;0,901
"2018-05-09";"S4";0,74;3,7;1,084
"2018-05-09";"S5";0,8314;4,157;1,04
"2018-05-09";"S6";0,81;4,05;1,024
"2018-05-09";"S7";0,612;3,06;0,71
"2018-05-09";"S8";0,7755;3,102;0,964
"2018-05-09";"S9";0,651;3,255;0,914
