"fecha";"sitio";"CEa1m";"sdCEa1m";"CEa05m";"sdCEa05m";"PromCEa"
"2018-02-21";"S4";42,73;1,36;40,82;3,25;41,78
"2018-02-21";"S5";36,57;0,76;32,19;1,41;34,38
"2018-02-21";"S6";41,15;0,88;32,19;1,2;36,67
"2018-02-21";"S7";28,49;0,95;26,5;0,94;27,5
"2018-02-21";"S8";29,85;0,53;27,93;1,01;28,89
"2018-02-21";"S9";30,47;0,66;30,37;4,61;30,42
"2018-02-21";"S10";35,19;3,2;30,74;1,61;32,97
"2018-02-21";"S11";37,73;1,09;31,91;1,04;34,82
"2018-02-21";"S12";39,23;1,13;35,89;0,48;37,56
"2018-02-27";"S1";23,18;0,91;15,78;3,24;19,48
"2018-02-27";"S2";24,77;1,05;17,57;2,24;21,17
"2018-02-27";"S3";28,82;0,5;21,67;0,56;25,25
"2018-02-27";"S4";36,52;1,11;29,32;4,14;32,92
"2018-02-27";"S5";31,69;0,66;23,87;2,54;27,78
"2018-02-27";"S6";35,13;1,36;23,21;1,43;29,17
"2018-02-27";"S7";21,88;0,95;17,11;1,98;19,5
"2018-02-27";"S8";24,18;0,45;18,83;2,4;21,51
"2018-02-27";"S9";22,59;0,47;14,54;8,17;18,57
"2018-02-27";"S10";28,81;1,85;24,4;7,24;26,61
"2018-02-27";"S11";30,21;0,81;21,55;0,98;25,88
"2018-02-27";"S12";34,02;0,72;26,64;1,93;30,33
"2018-03-07";"S1";25,2;0,59;19,74;0,35;22,47
"2018-03-07";"S2";26,59;0,53;18,91;0,67;22,75
"2018-03-07";"S3";30,25;0,68;23,09;0,76;26,67
"2018-03-07";"S4";37,28;1,24;30,76;1,57;34,02
"2018-03-07";"S5";31,74;0,67;23,48;0,39;27,61
"2018-03-07";"S6";36,37;0,88;24,03;0,79;30,2
"2018-03-07";"S7";23,54;1,62;19,55;2,23;21,55
"2018-03-07";"S8";25,15;0,37;19,02;0,4;22,09
"2018-03-07";"S9";24,17;0,57;18,3;1,47;21,24
"2018-03-07";"S10";27,35;0,62;19,69;0,4;23,52
"2018-03-07";"S11";31,59;0,81;22,89;0,34;27,24
